,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-1324,0,1,3,16,0,0,0,0,0,0,0,0,0,2,0,42,5,0,0,0,11,10,2,1,5,20,5,2,18,5,2
miR-132-5p,50,152,70,319,85,109,47,123,182,67,52,65,140,129,66,120,74,97,69,54,64,90,95,102,110,62,57,165,259,197,145
miR-133a-3p,1,121,16,27,73,25,59,1,54,8,56,0,18,21,1,4,24,23,17,5,5987,66,4,3,8,245,38,38,533,75,12
miR-133a-5p,4,11,10,15,4,31,12,4,4,13,18,1,7,2,3,11,8,6,4,8,134,21,7,3,7,12,0,8,26,10,2
miR-133b,6,89,14,23,92,20,69,2,53,7,41,1,20,19,0,0,5,12,10,4,6518,65,8,1,17,227,24,34,547,66,7
miR-1343-5p,26,88,162,241,277,139,124,122,137,141,289,19,55,107,26,83,128,58,51,108,144,269,193,34,79,244,162,118,859,132,103
miR-134-3p,31,3,3,6,18,2,8,0,2,3,2,6,0,5,10,11,5,10,9,6,26,11,4,12,8,6,0,11,13,1,10
miR-134-5p,644,139,33,14,408,90,127,10,72,247,35,192,4,208,358,6,99,209,336,225,322,235,55,403,288,48,78,377,327,53,246
miR-135a-3p,103,21,48,178,5,2369,202,38,13,33,36,134,107,128,112,67,316,224,150,38,85,31,21,42,3,16,55,197,4,126,253
miR-135a-5p,1536,78,407,839,3,4254,1076,138,418,51,77,1436,535,451,657,10920,438,1397,1967,232,371,96,4688,329,16,42,460,594,215,327,1687
miR-135b-3p,112,1,1,781,0,0,142,358,220,1,117,308,379,382,182,14,307,307,259,43,218,5,8,193,6,80,120,370,15,520,268
miR-135b-5p,19732,295,371,140985,102,46,16921,52716,24381,34,7075,67990,44427,48753,26234,679,25248,29805,36054,6538,18498,186,760,19286,341,7627,19601,66833,1469,57890,42273
miR-136-3p,1803,387,68,28,304,157,170,9,95,339,68,587,13,363,966,15,206,411,783,408,913,382,108,932,298,94,133,774,781,89,798
miR-136-5p,8759,2021,397,123,1694,687,1021,64,469,1611,335,3063,86,2121,5277,46,935,2013,4493,2766,3850,1707,623,4734,1965,346,907,4135,3726,517,3435
miR-137,1084,648,399,414,118,0,884,182,1939,150,67,5291,5429,473,4338,2,587,5139,3315,175,628,1294,0,1105,1152,781,19,352,214,2499,4504
miR-138-1-3p,31,55,45,162,78,97,37,71,62,29,86,32,314,22,11,39,107,40,23,54,90,98,83,39,54,58,11,22,429,36,16
miR-138-2-3p,19,3,5,4,0,6,27,81,271,1,14,12,8,65,13,2,22,24,14,9,6,4,4,35,1,19,16,45,199,42,28
miR-138-5p,406,66,291,4519,115,87,565,5109,6053,180,182,358,12723,1535,191,23,1074,673,713,147,867,108,42,1009,27,946,370,838,15840,1074,853
miR-139-3p,53,11,12,296,93,6,41,100,52,11,12,34,54,14,37,21,71,168,39,7,54,15,28,91,14,85,91,84,108,22,111
miR-139-5p,2562,211,132,7937,2452,214,1505,3542,2329,478,456,1711,2366,521,1601,415,2827,5928,1614,244,2381,182,456,2561,291,3692,1947,2751,4360,542,4604
miR-140-5p,1164,2658,4791,2576,3327,8938,1920,2608,2661,9178,2042,2177,1846,3168,1810,3488,1129,3351,2950,2647,2627,4155,2519,4778,2772,3080,1657,1775,6986,1476,1773
miR-141-3p,36,36,41,80,48,41,49,125,42,40,23,23,150,41,31,17,54,34,37,20,50,53,40,41,68,40,22,57,116,61,89
miR-141-5p,1,2,1,8,8,1,3,2,2,1,5,1,1,1,1,2,2,2,3,7,2,1,0,2,3,1,0,2,2,2,2
miR-142-5p,144,1198,2041,615,2858,1080,1553,310,1969,6297,1000,289,500,1808,167,358,661,1832,644,370,709,1231,196,221,1275,1852,1331,1504,2128,1129,645
miR-143-3p,1705,18349,6008,19151,27635,25548,21872,4413,20377,19712,29943,3035,12681,24968,4504,3714,5822,21553,7980,6402,13201,11614,2695,3857,19636,10670,24084,32808,24923,13809,5907
miR-143-5p,17,118,44,89,189,187,112,29,149,98,205,23,71,153,20,48,40,125,46,44,99,81,49,26,138,76,140,203,150,122,31
miR-144-3p,278,547,7590,1273,10920,183,4476,636,2860,7650,684,1164,1104,2186,238,341,1278,1907,1091,415,1271,2176,315,253,203,1396,1988,2105,585,1714,707
miR-144-5p,120,202,2752,550,4623,104,2208,331,1780,3053,321,342,413,1247,125,218,800,870,570,131,597,1096,189,149,123,730,821,927,332,899,437
miR-145-3p,10,129,63,104,168,158,151,22,153,200,207,32,100,201,34,31,63,147,48,59,133,127,24,40,133,86,164,204,174,106,51
miR-145-5p,2150,20545,6408,21562,29960,29011,27255,4931,21278,21143,28089,3262,12898,21658,4318,2512,7243,20897,7547,7555,9657,11914,4015,3544,19785,8046,24863,30429,30203,18233,7049
miR-1468-3p,1,3,2,8,3,4,1,1,1,2,0,0,2,1,0,2,0,0,0,3,7,4,1,0,10,5,0,4,4,1,1
miR-1468-5p,9,136,84,110,15,40,14,60,33,45,19,8,58,109,23,103,53,10,9,231,26,269,130,33,145,55,15,53,38,79,35
miR-146a-3p,0,6,4,12,8,11,2,1,5,4,8,2,1,4,1,9,8,4,6,3,6,13,5,4,6,12,2,2,19,8,0
miR-146a-5p,291,1770,640,286,467,1163,1088,298,1549,2333,475,283,676,2049,333,325,481,1160,927,871,782,810,156,785,2196,522,1497,3789,3974,967,673
miR-146b-3p,0,8,2,13,27,4,5,6,1,15,7,1,4,2,0,37,8,9,9,6,14,15,61,0,5,15,6,13,64,18,8
miR-146b-5p,244,1818,777,662,5077,1354,539,319,754,4190,996,284,400,517,275,3931,484,751,579,529,487,1113,8471,470,658,393,322,511,4564,633,444
miR-1471,2,8,13,27,18,25,18,12,15,9,15,3,7,14,0,62,6,8,19,2,42,45,8,3,3,40,28,48,16,23,21
miR-147a,0,1,6,13,0,3,1,1,6,2,0,0,3,2,1,3,6,3,1,2,4,4,0,0,6,2,7,9,3,9,10
miR-147b,7,19,28,58,16,25,16,14,18,26,16,6,9,19,10,10,39,14,17,18,8,38,7,15,33,23,6,15,24,35,23
miR-148a-3p,6034,6646,3400,26477,3975,9026,1203,17421,7810,5797,1632,4235,664,4120,2275,51040,2719,9759,3921,1886,5457,8304,39889,10541,4903,6395,1175,4177,5551,3775,6590
miR-148b-3p,4134,3556,5069,29317,2220,5413,2587,13279,5605,2710,5641,4383,11743,5435,3820,6276,3444,5017,4651,4197,9576,4897,7331,4382,3470,8601,2836,5385,8960,8545,6721
miR-149-3p,2094,3905,12689,25592,68653,11185,13785,7626,21123,5614,11018,2018,3244,14776,1808,3747,12788,3269,6236,4993,5765,10420,10790,2449,6255,13710,19990,16708,16243,13800,14490
miR-149-5p,3327,2045,2759,16551,440,1348,3514,4871,1740,2529,478,2779,5220,1969,3433,824,3663,3685,3334,2073,1480,2469,1130,4331,1562,921,1222,2583,3609,5202,7954
miR-150-3p,13,63,90,294,494,94,227,69,135,59,160,20,40,192,14,36,24,57,40,37,22,79,32,14,25,75,460,391,163,255,156
miR-150-5p,366,490,648,168,48759,1067,1281,320,1089,3068,250,411,256,1609,226,87,331,1906,804,281,320,392,37,507,1094,247,1494,2347,3465,745,1008
miR-151a-3p,3995,3408,5053,5176,2073,3688,2281,3027,4593,2568,3455,2389,4338,1326,1930,2597,1753,1508,3220,3010,3521,4182,2918,3016,4018,2935,1104,1903,6441,2354,2382
miR-152-3p,597,921,439,2101,759,1077,1040,1455,1269,2199,530,329,1783,1882,570,509,640,1032,466,358,627,1459,505,803,2776,585,984,1129,3545,686,1047
miR-153-3p,16828,8638,16140,5255,41,6002,5355,2667,3791,856,407,7818,1815,8022,8724,24465,4574,7715,15772,4784,675,8768,7650,15532,4669,3137,3394,13049,2800,2151,13147
miR-153-5p,53,56,55,10,0,10,15,5,4,9,1,29,0,21,16,70,10,19,45,31,8,28,8,34,12,11,14,32,2,5,23
miR-1537-3p,47,88,131,308,37,47,35,123,90,70,57,78,234,115,49,51,94,64,56,49,48,129,38,39,77,77,49,67,111,128,60
miR-1537-5p,1,1,0,4,0,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,1,1,4,0,1,1,0,0,1,2,1
miR-1538,1,6,20,29,61,6,9,9,11,17,27,2,8,14,6,105,4,11,12,2,49,48,9,5,11,58,21,48,53,31,15
miR-1539,2,9,14,21,20,21,14,9,9,6,20,5,6,8,2,20,15,14,12,20,15,29,14,6,12,14,12,4,16,11,9
miR-154-3p,639,356,59,6,264,66,139,2,46,263,23,267,7,222,374,4,279,217,402,317,641,229,88,357,243,158,51,394,679,46,358
miR-154-5p,1898,470,73,54,517,208,284,20,98,537,90,572,26,468,1038,18,213,442,865,528,903,494,177,955,653,156,139,776,991,109,549
miR-155-3p,3,1,0,0,0,1,0,0,0,4,0,2,0,2,0,3,4,0,1,0,2,2,0,0,2,2,1,1,0,1,0
miR-155-5p,40,316,544,119,514,658,166,68,190,1032,304,60,136,218,34,58,102,216,98,264,201,481,94,95,307,97,178,288,1159,109,96
miR-1587,2,37,50,115,136,46,94,44,49,41,66,4,6,83,5,62,8,14,31,19,38,73,13,10,16,50,160,257,88,119,90
miR-15a-3p,84,411,315,160,149,307,153,72,140,292,189,102,115,130,138,291,243,204,203,255,192,566,196,102,331,107,49,105,131,147,73
miR-15a-5p,55382,61156,69405,63756,31697,54337,64187,43153,63289,49129,40808,60233,39692,41092,63916,48642,54706,80987,102954,66689,42916,87218,40489,47880,66542,34626,27985,53149,33232,61694,66674
miR-15b-3p,36,622,552,679,280,315,118,128,300,307,301,104,113,93,79,288,215,77,103,302,399,533,189,104,510,157,72,147,115,232,80
miR-15b-5p,4721,39444,35947,48180,23297,24326,12694,14690,23418,22756,17534,8687,8086,8538,7814,18915,18498,8680,12304,17393,25119,39804,16953,9510,34731,11371,7885,14140,9442,20850,8333
miR-16-1-3p,153,440,527,224,177,287,324,116,213,620,466,168,163,186,215,300,313,295,302,353,283,696,273,153,445,155,101,254,167,311,162
miR-16-5p,76200,196440,193155,175784,113019,134376,115283,98602,137074,136703,84684,93635,72066,91042,101029,119147,108086,122342,154417,128252,101130,208029,95591,85250,159048,75601,59737,107112,72658,126387,106152
miR-17-3p,847,9333,6214,4569,2459,9391,1978,1878,4241,5571,3648,968,7750,1907,957,6840,4504,3273,1615,7311,7025,3834,8815,1589,6014,7391,747,1512,5558,2731,1994
miR-17-5p,4819,98325,77651,44739,20576,95186,18373,21589,47500,47860,45299,9195,76641,16932,5889,47411,52466,30845,12835,81239,81472,41678,76915,12430,56952,92935,6772,15375,60406,29100,19734
miR-181a-2-3p,18,1190,880,650,1000,610,169,193,65,704,201,8,303,439,7,1426,442,192,40,987,406,970,851,9,1430,447,51,45,565,204,321
miR-181a-3p,52,110,142,1828,3383,464,184,1735,644,356,485,133,1260,759,70,11,1908,1492,187,445,1194,274,6,118,666,539,196,113,1015,831,297
miR-181a-5p,9606,29495,30079,127397,188264,43678,18094,122617,38299,26881,30792,12199,79733,50616,13347,18292,116513,72509,20710,47898,70938,32554,19611,12381,60924,44239,15682,18781,77098,55835,37090
miR-181b-3p,3,30,28,205,223,30,10,112,57,52,98,1,113,57,1,20,165,90,8,44,233,47,16,9,50,60,14,18,93,47,27
miR-181b-5p,2273,8224,7367,32257,34277,9934,4577,31207,8148,8747,10584,2968,22292,13283,3654,4939,23539,12236,4419,8212,15842,6689,5469,3061,11357,12752,3608,4695,19809,10374,6796
miR-181c-3p,614,61,370,695,248,184,624,367,281,16,148,799,184,1298,957,78,809,1111,962,262,198,365,109,586,138,547,515,1105,284,694,1258
miR-181c-5p,6156,2252,5327,13214,10113,3101,4942,7542,3760,1377,2598,6608,5848,10858,7714,1029,10270,11633,8787,6371,5607,4443,1397,5699,3292,7685,4089,9003,3717,6743,11613
miR-181d-3p,20,5,29,30,14,9,33,18,9,8,25,15,7,31,21,8,22,34,32,10,18,41,4,27,11,26,15,35,14,27,36
miR-181d-5p,3030,3759,4614,18203,22288,6238,4425,15225,5367,5362,7053,3780,9487,10806,4962,2354,15872,9593,4865,5501,10627,4122,2643,3455,6195,8644,3360,5174,9126,6775,6752
miR-182-3p,0,0,2,1062,0,0,1,712,13,0,46,5,1263,134,0,59,37,1,0,0,77,4,67,0,0,274,14,1,29,235,17
miR-182-5p,18,23,161,122964,259,24,137,122057,891,146,3941,703,174072,20113,15,7210,6315,127,39,12,9980,56,14404,214,15,38254,1616,358,7558,31025,3053
miR-183-3p,0,0,1,378,1,0,1,382,1,0,64,2,793,60,0,24,40,2,0,0,72,4,64,3,0,133,6,3,54,124,11
miR-183-5p,14,6,69,87070,127,16,53,67879,535,54,1913,372,121187,9367,2,2650,3117,80,17,1,5166,20,6333,151,3,12473,889,199,2370,19278,1991
miR-184,5,2,1,4,4,1,1,1,2,1,2,2,3,1,1,24,0,1,0,1,4,5,181,4,3,2,11,8,81,6,5
miR-185-3p,5,4,17,16,19,2,15,6,16,22,11,7,2,14,5,13,6,12,13,4,15,13,10,18,5,6,10,15,52,14,13
miR-185-5p,674,756,1952,1636,2383,927,2214,1955,1851,2879,783,789,1242,1435,812,1337,1247,1200,1196,405,1049,1340,673,1577,1008,1217,968,1839,5756,1540,1607
miR-186-3p,24,38,58,98,43,72,37,40,65,45,57,25,37,31,21,105,47,49,33,47,51,74,70,48,23,82,25,44,96,52,29
miR-186-5p,2530,7038,9844,13534,5819,6844,3325,5928,7610,4448,8359,3129,4318,4358,2707,6335,4241,6112,3718,6167,7048,8409,6672,4476,6886,8935,1823,3677,7528,5370,3693
miR-187-3p,752,42,59,114,84,102,102,53,194,43,111,152,640,137,37,97,112,116,535,65,87,72,295,45,51,185,100,267,172,453,357
miR-187-5p,17,46,41,170,64,53,57,50,38,24,63,16,29,41,10,12,30,31,38,35,28,63,47,20,36,43,62,64,86,49,23
miR-188-3p,34,10,26,63,54,563,40,5,400,10,47,30,26,25,72,65,15,47,60,7,81,34,56,6,34,51,44,70,56,69,52
miR-188-5p,92,74,268,105,281,6193,189,38,1036,85,361,70,121,128,205,377,60,157,267,39,414,183,229,33,187,530,136,251,282,175,172
miR-18a-3p,54,498,494,671,184,782,159,188,406,392,775,53,736,131,35,253,493,170,110,415,767,209,595,73,308,981,51,152,1332,238,101
miR-18a-5p,207,2109,3177,4233,1256,5638,842,1375,2915,2944,5447,268,5392,814,199,2213,2926,972,422,2737,9333,1348,2768,397,1607,9904,252,776,9779,1626,784
miR-18b-3p,5,28,25,74,11,38,11,10,22,20,48,2,27,10,3,9,20,16,4,26,52,18,16,7,19,46,8,9,66,20,4
miR-18b-5p,90,734,1050,1417,521,1804,289,472,942,966,1784,109,1584,312,66,671,871,281,162,917,3101,511,791,171,512,3076,92,326,2778,492,269
miR-1908-5p,82,156,190,411,415,289,148,107,157,152,298,91,184,133,41,159,241,148,118,197,194,313,219,91,129,183,172,167,397,163,125
miR-1909-3p,6,39,53,154,126,41,67,42,64,30,76,10,13,50,7,147,22,19,35,16,93,161,44,5,22,96,112,141,85,81,57
miR-1909-5p,4,17,18,30,28,36,18,7,17,9,38,5,5,11,3,25,27,14,17,12,33,24,24,6,14,32,17,18,28,19,11
miR-190a-3p,1,0,3,2,0,0,0,0,1,2,2,0,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0
miR-190a-5p,0,4,2,41,0,2,0,5,1,3,1,4,7,5,1,0,0,2,3,7,7,0,0,0,4,7,0,3,21,1,2
miR-190b,2,2,0,2,0,4,0,2,1,1,1,1,2,0,0,1,0,1,0,2,2,2,0,1,3,1,0,0,4,6,1
miR-1910-3p,21,115,123,445,509,124,424,133,214,127,318,14,68,240,18,49,17,74,48,27,80,142,46,19,57,72,545,460,349,304,210
miR-1910-5p,2,7,22,78,19,18,8,56,26,4,16,6,62,22,7,100,15,4,22,12,59,65,16,2,9,66,36,27,54,21,19
miR-1911-3p,2,2,2,17,6,5,2,2,17,5,7,2,4,2,2,6,1,5,3,1,9,4,5,0,4,7,10,4,9,9,8
miR-1911-5p,25,0,1,559,0,0,3,18,1439,0,0,6,0,3,10,2,0,10,6,0,33,4,1,2,4,2,27,13,2,45,80
miR-1912,335,1,1,306,1,2,6,26,635,1,4,108,2,11,227,0,12,100,80,4,30,2,4,53,3,2,70,171,10,30,166
miR-1913,3,59,80,326,575,38,189,148,232,85,449,11,12,102,14,233,39,24,60,12,200,149,54,9,27,210,75,114,660,260,49
miR-191-3p,14,3,16,60,11,15,14,34,17,28,23,12,23,12,22,25,21,20,21,4,27,16,30,31,14,12,19,21,21,28,23
miR-1914-3p,11,90,159,458,945,97,311,121,288,122,207,5,46,275,26,70,40,56,55,40,58,142,48,12,59,113,654,556,248,400,284
miR-1914-5p,4,21,40,116,34,27,24,21,35,15,48,3,21,28,4,396,18,13,55,12,212,256,36,5,18,251,55,129,125,169,57
miR-1915-3p,61,416,611,619,3904,623,302,314,208,771,1422,60,185,301,77,626,337,385,173,913,1030,1001,919,179,424,1180,530,336,1789,299,212
miR-1915-5p,5,4,11,4,4,4,4,4,8,1,16,0,9,0,3,24,7,4,6,5,20,35,9,6,7,21,2,9,12,10,1
miR-191-5p,9362,6206,7917,42878,9706,15181,9101,21718,14899,9916,8033,11958,12981,11838,11634,18306,10151,13197,14175,7977,10748,6871,17429,22010,6916,10824,5730,13323,15230,15949,11878
miR-192-3p,19,29,59,13,22,30,29,33,40,23,15,11,29,43,18,49,38,31,17,35,8,33,64,38,33,48,8,16,20,35,15
miR-192-5p,650,947,2047,929,651,816,977,1627,800,620,162,584,957,1255,532,1928,1190,1050,903,684,327,986,1892,1050,915,1377,343,669,1302,1133,561
miR-193a-3p,42,287,1142,315,296,145,95,279,573,469,4812,29,313,256,43,31841,494,92,57,62,810,248,24713,91,236,507,234,277,1511,308,146
miR-193a-5p,32,104,370,144,137,62,75,104,250,186,1180,18,114,126,13,5156,313,36,35,42,155,97,8905,82,129,105,165,179,853,166,110
miR-193b-3p,2738,1111,1722,2495,661,1971,2444,392,5711,1070,18958,2624,3110,1031,1563,2225,6362,5216,7023,346,5337,1512,1708,7488,1697,2595,283,3233,5215,2343,475
miR-193b-5p,69,22,30,55,33,29,105,20,94,30,157,69,51,56,35,28,98,83,145,7,59,24,23,166,22,27,37,147,121,93,42
miR-194-3p,3,9,14,8,8,3,6,8,7,5,3,2,11,6,3,12,13,10,3,4,0,11,11,13,11,10,3,4,11,12,1
miR-194-5p,975,1845,3085,1289,1320,1349,1345,1668,1038,1278,419,932,1432,1518,779,2824,1757,1590,1289,1053,577,1693,3533,1819,1457,1899,512,1028,1983,1718,892
miR-195-3p,67,354,375,20,90,315,88,10,57,302,85,83,43,76,112,466,68,85,97,386,80,595,406,92,289,6,71,203,109,115,129
miR-195-5p,12346,43844,42587,6839,13120,44301,10508,2164,8821,21830,7519,12071,5860,12574,22894,69477,7383,12028,16303,45552,6002,52795,55568,13748,32049,1739,11693,36505,17978,15562,31373
miR-196a-3p,3,1,3,5,4,6,1,5,195,1,14,2,0,77,0,13,55,0,1,1,5,9,1,0,0,2,9,44,4,6,62
miR-196a-5p,6,0,3,7,5,39,0,427,5536,1,421,4,2,5048,0,2,1499,11,1,0,2,6,1,2,6,14,940,1028,6,70,3210
miR-196b-3p,7,7,6,21,12,754,7,2,337,5,7,11,3,62,9,9,185,434,2,5,16,18,7,80,17,9,3,23,19,108,4
miR-196b-5p,165,20,56,6,69,25591,35,7,8246,19,4,457,7,1947,173,7,5875,13133,9,2,150,13,0,2123,347,2,19,527,8,3531,93
miR-197-3p,1647,3398,5108,6006,1819,2947,2216,2929,3012,2066,1900,1837,1829,1952,1661,1463,2605,2460,2430,3365,1514,3735,2777,2938,3842,1695,1186,2538,5094,2724,3229
miR-197-5p,59,272,531,917,1313,356,752,205,470,360,430,60,176,516,43,129,142,249,158,165,193,679,155,99,146,388,1103,939,584,609,407
miR-1976,10,18,16,41,25,22,8,12,21,14,12,14,8,17,15,73,4,11,25,7,33,65,17,20,11,51,9,55,61,32,21
miR-198,7,62,57,175,329,126,166,32,307,105,105,0,15,167,6,34,11,29,29,25,77,55,33,13,53,35,412,488,177,243,137
miR-199a-3p,189,10932,2061,3649,32626,23818,3806,654,7463,26421,4678,435,1551,10075,971,705,1511,4724,1477,2603,2627,16763,1267,718,20188,1032,6846,6229,2622,4317,1117
miR-199a-5p,132,6097,1165,2695,22032,13890,1712,381,2922,11751,2899,205,839,2965,491,337,559,1659,494,844,1554,8228,199,307,7247,725,2914,2755,1602,2726,499
miR-199b-5p,9,3036,594,327,638,3860,1272,76,2323,6544,727,109,356,3589,200,328,452,1726,584,978,665,5986,1230,212,7905,49,1478,1335,530,894,229
miR-19a-3p,6897,49267,51865,38022,15186,61045,15979,13792,28809,34084,34166,9496,46082,14534,6396,46759,35715,22394,14411,48629,69516,33050,40745,10827,40659,60346,4811,9241,48344,20225,9038
miR-19a-5p,12,76,77,47,24,80,23,14,34,61,31,21,53,30,8,62,56,39,19,102,103,64,51,15,48,70,3,8,47,22,9
miR-19b-1-5p,126,1231,1071,447,280,939,298,231,383,696,349,173,793,353,165,949,821,669,260,1016,1108,611,1019,307,750,959,119,190,424,314,277
miR-19b-2-5p,2,3,3,6,1,9,0,1,4,3,8,0,0,3,3,3,4,5,0,3,4,4,7,2,2,5,2,1,10,0,2
miR-19b-3p,22643,211661,160997,101650,60246,165846,49674,50456,91046,100124,77789,31950,154007,54385,23397,143856,121801,95255,46789,175401,177750,96645,169431,44340,134268,167224,20398,35902,114472,72655,44754
miR-200a-3p,12,50,42,163,37,12,12,8,23,24,6,14,3,11,3,66,19,1,12,46,26,49,87,6,15,3,4,24,303,5,23
miR-200a-5p,1,4,8,7,8,7,9,1,4,1,13,3,1,4,0,9,5,6,1,3,5,13,6,4,6,3,0,2,9,2,2
miR-200b-3p,5,83,46,126,92,26,11,4,14,23,3,9,4,12,4,57,10,6,8,48,21,87,77,3,24,3,10,14,209,6,17
miR-200b-5p,0,3,1,3,4,0,1,1,0,0,2,0,0,0,0,7,0,1,1,1,1,3,4,1,5,2,0,0,12,0,0
miR-200c-3p,25,11,24,60,30,18,18,61,27,26,14,6,74,12,8,2,22,21,15,15,28,21,14,21,47,32,15,23,67,31,33
miR-200c-5p,0,2,4,4,7,2,2,0,1,0,2,1,1,2,2,1,2,1,2,4,1,7,1,2,4,2,1,0,6,1,2
miR-202-3p,1,4,3,37,47,11,17,13,15,10,7,0,1,30,0,0,1,3,1,2,3,11,1,4,3,3,60,46,14,42,12
miR-202-5p,0,0,2,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
miR-203b-3p,1,0,0,24,2,0,0,10,1,1,2,0,3,0,0,3,0,0,0,2,0,2,3,1,3,6,1,5,3,4,0
miR-203b-5p,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0
miR-204-3p,1383,244,188,802,719,143,1775,323,1131,195,371,752,94,2277,492,1573,748,816,1035,148,527,152,2815,1739,145,151,883,1808,804,826,685
miR-204-5p,155218,12278,1836,38749,23,140,95968,16602,117933,430,169,108315,5383,161490,52560,208068,52481,100638,160272,5190,80508,1663,299964,171776,8111,6064,11675,87460,46624,24224,27877
miR-2052,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
miR-2053,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-205-3p,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,8,6,0,2,0,5,0,2,5,2,0
miR-2054,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0
miR-205-5p,3,1,2,6,0,5,1,1,1,4,16,0,1,1,0,7,2,0,35,1,20,8,3,1,5,8,0,21,9,12,9
miR-206,4,2,8,15,1231,1,19,4,136,2,4,1,6,7,0,1,1,9,27,8,17666,4,20,5,0,512,36,158,1202,381,28
miR-208a-3p,1,8,7,10,0,0,0,1,1,1,0,0,15,0,1,1,2,0,1,5,19,2,4,1,7,13,2,1,3,2,1
miR-208a-5p,1,0,4,4,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0
miR-208b-3p,34,89,177,76,0,21,5,7,19,13,2,13,43,9,2,17,7,17,28,278,83,179,23,15,150,5,13,84,13,97,59
miR-208b-5p,0,2,1,6,1,2,2,0,0,1,3,0,3,1,2,3,2,0,0,5,2,8,4,0,7,3,0,0,2,7,1
miR-20a-3p,452,6458,3423,2362,997,3963,1024,858,2115,2099,1545,691,2607,1289,510,4378,2707,2049,1026,4461,4250,2193,4438,928,3085,2959,339,587,2060,1341,866
miR-20a-5p,3798,107300,84842,28978,20681,94725,17451,18255,37537,52132,38392,7216,75262,15259,4614,48246,52206,30768,11884,86850,73071,44603,74142,10696,64313,93064,5242,12302,56782,25166,17407
miR-20b-3p,1,1,7,23,66,23,14,5,41,46,7,6,5,26,9,4,18,15,10,69,10,4,0,20,18,10,11,49,15,11,6
miR-20b-5p,2227,37529,31365,19937,10246,42596,7639,8607,19552,23188,20859,4572,26183,7620,2423,19447,20324,11992,5698,35663,38565,17642,25322,6014,24037,31915,3011,6582,21766,10504,6783
miR-210-3p,764,3150,1702,3045,4256,1841,818,2441,2976,2273,3188,1237,1697,903,1346,4458,2431,1385,1629,1266,2054,2018,5136,1628,724,4003,870,1226,3735,4376,433
miR-210-5p,28,74,114,216,229,83,105,89,146,70,228,30,61,89,37,200,64,56,67,42,121,194,82,32,40,163,111,206,200,177,85
miR-2110,73,34,54,186,64,62,100,128,205,54,46,70,35,129,56,102,48,129,105,37,55,57,231,145,89,29,61,95,181,64,110
miR-2113,1,1,2,7,0,1,0,0,0,0,1,0,10,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,4,1,0
miR-211-3p,23,110,143,624,778,173,415,172,331,173,412,24,44,412,29,56,42,80,56,66,151,148,50,24,48,117,798,723,492,464,298
miR-2114-3p,0,6,5,6,5,3,9,4,13,3,8,0,1,7,2,0,5,1,4,3,4,5,0,3,4,5,13,11,18,14,3
miR-2114-5p,7,14,11,15,11,6,1,8,14,8,3,3,5,20,2,7,4,7,2,2,0,10,1,2,7,5,5,19,83,6,10
miR-2115-3p,18,22,27,53,32,34,19,18,30,28,52,15,30,33,8,29,33,22,20,37,24,53,26,10,34,15,25,33,47,33,16
miR-2115-5p,19,29,28,52,32,55,27,35,47,65,58,22,47,58,24,14,42,54,22,26,50,57,31,33,24,24,53,113,51,41,36
miR-211-5p,13,2,3,29,2,3,2,63,9,1,8,15,58,3,4,10,4,5,7,10,8496,4,33,39,4,1122,1,8,942,6,10
miR-2116-3p,2,6,6,31,25,22,14,8,24,13,21,5,6,13,1,28,17,9,8,11,29,26,20,6,4,22,41,31,56,17,20
miR-2116-5p,7,10,10,16,16,36,22,6,17,12,25,4,21,13,5,10,13,3,4,15,12,23,15,6,11,4,10,6,25,8,13
miR-2117,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,2,1,3,3,1,1,2,9,0,1,2,3,0
miR-212-3p,48,143,74,193,128,116,51,101,148,105,119,63,105,89,53,107,108,97,68,70,105,129,137,95,93,60,55,215,234,152,111
